row,rank,mal_id,title,score,reason,anchor,primary_genre,mal_url,anilist_id,row_description
general_recommendations,1,51553,Tongari Boushi no Atelier,0.641,Summer 2026 window: current/recent show with profile and quality fit,current season window,Adventure,https://myanimelist.net/anime/51553/Tongari_Boushi_no_Atelier,147105.0,"Fallback main row: current/recent season picks, popular high-score anchors, and content profile matches."
general_recommendations,2,58788,Ikoku Nikki,0.6379,Summer 2026 window: current/recent show with profile and quality fit,current season window,Drama,https://myanimelist.net/anime/58788/Ikoku_Nikki,177385.0,"Fallback main row: current/recent season picks, popular high-score anchors, and content profile matches."
general_recommendations,3,62076,Super no Ura de Yani Suu Futari,0.621,Summer 2026 window: current/recent show with profile and quality fit,current season window,Comedy,https://myanimelist.net/anime/62076/Super_no_Ura_de_Yani_Suu_Futari,196187.0,"Fallback main row: current/recent season picks, popular high-score anchors, and content profile matches."
general_recommendations,4,36098,Kimi no Suizou wo Tabetai,0.8207,popular high-score anchor with mild profile fit,popular high-score,Drama,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai,99750.0,"Fallback main row: current/recent season picks, popular high-score anchors, and content profile matches."
general_recommendations,5,6114,Rainbow: Nisha Rokubou no Shichinin,0.8057,popular high-score anchor with mild profile fit,popular high-score,Drama,https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin,6114.0,"Fallback main row: current/recent season picks, popular high-score anchors, and content profile matches."
general_recommendations,6,40787,Josee to Tora to Sakana-tachi,0.8051,popular high-score anchor with mild profile fit,popular high-score,Drama,https://myanimelist.net/anime/40787/Josee_to_Tora_to_Sakana-tachi,113596.0,"Fallback main row: current/recent season picks, popular high-score anchors, and content profile matches."
general_recommendations,7,61332,Aka no Kioku,0.5656,content fallback: profile match + catalog quality,content fallback,Slice of Life,https://myanimelist.net/anime/61332/Aka_no_Kioku,189115.0,"Fallback main row: current/recent season picks, popular high-score anchors, and content profile matches."
general_recommendations,8,61151,"Let's Roll, Cinnamoroll!",0.5647,content fallback: profile match + catalog quality,content fallback,Slice of Life,https://myanimelist.net/anime/61151/Lets_Roll_Cinnamoroll,187514.0,"Fallback main row: current/recent season picks, popular high-score anchors, and content profile matches."
general_recommendations,9,63222,Noto Hantou Fukkou Ouen Kikaku,0.5583,content fallback: profile match + catalog quality,content fallback,Slice of Life,https://myanimelist.net/anime/63222/Noto_Hantou_Fukkou_Ouen_Kikaku,205154.0,"Fallback main row: current/recent season picks, popular high-score anchors, and content profile matches."
general_recommendations,10,63151,Mofusand,0.5566,content fallback: profile match + catalog quality,content fallback,Slice of Life,https://myanimelist.net/anime/63151/Mofusand,204656.0,"Fallback main row: current/recent season picks, popular high-score anchors, and content profile matches."
